,file,speaker,sentence,lang
24,citizen_sub_8a17,LETTER,"A la cérémonie d'assermentation des élus le maire Gérald Tremblay a dit «À partir d'aujourd'hui, ce ne sont plus des partis politiques que nous allons représenter, mais des Montréalaises et des Montréalais.",fr
25,citizen_sub_8a17,LETTER,C'est à leurs attentes et leurs aspirations que nous devons répondre.,fr
26,citizen_sub_8a17,LETTER,"Le maire a indiqué que les Montréalais avaient lancé deux messages aux élus lors du scrutin, soit de leur redonner confiance dans l'administration municipale et de changer la manière de diriger la Ville.",fr
27,citizen_sub_8a17,LETTER,"Ça signifie que nous allons travailler différemment, qu'il va falloir sans doute revoir le fonctionnement de certaines instances, a dit le maire.",fr
28,citizen_sub_8a17,LETTER,Il faut que tous les élus sentent qu'ils contribuent à l'essor de la ville de Montréal;,fr
29,citizen_sub_8a17,LETTER,"pas seulement au moment du conseil municipal, et qu'au-delà des partis, que chacun contribue au meilleur de lui-même à l'amélioration de Montréal.",fr
30,citizen_sub_8a17,LETTER,Or les deux partis de l’opposition qui ont obtenu 60 % des voix lors de ce scrutin se sont déclarés contre le corridor Dalhousie.,fr
31,citizen_sub_8a17,LETTER,Vat-il répondre aux attentes de la majorité des Montréalaises et des Montréalais et à leurs aspirations?,fr
32,citizen_sub_8a17,LETTER,Constitution de SHM À qui l’SHM est-elle redevable?,fr
33,citizen_sub_8a17,LETTER,À son Conseil d’administration CA.,fr
34,citizen_sub_8a17,LETTER,"Or l’ors de la préparation des documents et études publiées récemment pour cette consultation, le CA était composé de 5 personnes tous de la Ville sauf une seule qui était du domaine privé.",fr
35,citizen_sub_8a17,LETTER,Rainville Président-directeur général Gérald Tremblay,fr
36,citizen_sub_8a17,LETTER,"urbain, Montréal Laurent Benarrous JLL 2 Roland",fr
37,citizen_sub_8a17,LETTER,"En d’autres termes la SHM n’était que l’extension des bureaux de la ville de Montréal,",fr
38,citizen_sub_8a17,LETTER,"alors que sa création pour coordonner des projets se situant à trois paliers de gouvernements était justifiée, il ne reste pas moins que la ville s’est fait mal conseiller par la SHM, principalement parce que.",fr
39,citizen_sub_8a17,LETTER,"je cite M. Rainville « Comme organisme à but non lucratif, on jouit d’une certaine marge de manœuvre qui n’existe pas à la Ville de Montréal.",fr
40,citizen_sub_8a17,LETTER,"», ou encore M. Malo directeur du projet Bonaventure à l’époque, dans sa fameuse recette « des 10 ingrédients du succès de la planification du projet. .",fr
41,citizen_sub_8a17,LETTER,"Une sélection de consultants basée avant tout sur la qualité, plutôt que sur le prix.",fr
42,citizen_sub_8a17,LETTER,"» Donc pour enfreindre aux quelques règlements et garde-fous qui restent encore à la ville, la SHM a prit ce mandat, diminué son CA au maximum pour ne pas avoir de garde-fous et encore moins quelqu’un à qui s’y rapporter, et avec les coudées franches, la SHM a fait un projet incongrue, des tonnes d’études bidon, dilapidé l’argent du trésor public.",fr
43,citizen_sub_8a17,LETTER,"Et une fois le tour joué, la SHM joue à la vierge en renflouant son CA . .",fr
44,citizen_sub_8a17,LETTER,de 11 membres et M. Rainville a tenu à préciser que 10 d’entre eux proviennent de l’entreprise privée.,fr
45,citizen_sub_8a17,LETTER,Et ce qui vient d’etre publié par la SHM Conseil d'administration,fr
46,citizen_sub_8a17,LETTER,En date du 23 septembre 2009,fr
47,citizen_sub_8a17,LETTER,Marketel Présidente du conseil d'administration,fr
48,citizen_sub_8a17,LETTER,Rainville Président-directeur général Monsieur Charles-Mathieu Brunelle,fr
49,citizen_sub_8a17,LETTER,Société du Havre de Montréal Directeur,fr
50,citizen_sub_8a17,LETTER,- Muséums nature de Montréal Vice-président exécutif et directeur national de l’entreprise Jones Associée,fr
51,citizen_sub_8a17,LETTER,"Vice-président principal, Communications et relations externes",fr
52,citizen_sub_8a17,LETTER,photos Mais c’est une manipulation brillante des faits.,fr
53,citizen_sub_8a17,LETTER,On dit la vérité mais pas tout à fait.,fr
54,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 3.,fr
55,citizen_sub_8a17,LETTER,"La longueur de l’emprise est importante pour déterminer si le projet est assujetti au BAPE ou pas, la limite étant de 1 km.",fr
56,citizen_sub_8a17,LETTER,"Le plan original du projet indique clairement la ligne du début et celle de la fin de l’emprise, la distance entre les deux est de 998.89m Or suite à l’audit de sécurité et à quelques séances secrètes de négociation et de tordage de bras la SHM a publié son nouveau plan où la longueur de l’emprise, et maintenant 1 026 m. Et la SHM prétend que les derniers plans publiés ne sont pas à date!",fr
57,citizen_sub_8a17,LETTER,Alors que le document « réponses à l’audit de sécurité » est daté de septembre 2009.,fr
58,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 4.,fr
59,citizen_sub_8a17,LETTER,"L'étude de la qualité de l'air Le mandat de l'étude de la qualité de l'air se limite aux abords de l'autoroute, et il semblerait que l’objectif et de démontrer que le projet ne représente pas un problème au niveau de la qualité de l’air.",fr
60,citizen_sub_8a17,LETTER,Donc d'une part: 1.,fr
61,citizen_sub_8a17,LETTER,"On déplace les autobus à l'ouest sur la Dalhousie, 2.",fr
62,citizen_sub_8a17,LETTER,"On assume une diminution de trafic véhiculaire à l’est sur la Bonaventure, à cause de ""l'effet travaux"".",fr
63,citizen_sub_8a17,LETTER,On assure la SHM que structure du CN et que les nouveaux édifices de la Bonaventure empêcheraient la propagation de la pollution vers le coté est.,fr
64,citizen_sub_8a17,LETTER,"Et d'une autre, on mesure les résultats à l’extrême est sur le M9 et la garderie sur Duke.",fr
65,citizen_sub_8a17,LETTER,"Et on déclare triomphalement victoire, un projet vert, propre, écologique, LEED, etc. .",fr
66,citizen_sub_8a17,LETTER,"Et le comble de la supercherie est d'aller chercher l’appui quasi immédiat de Steven Guilbeault, d'Équiterre, ca donne de la crédibilité, c'est louche, c’est futé mais c'est louche . . .",fr
67,citizen_sub_8a17,LETTER,En ligne avec la politique de marketing et des demi-vérités de la SHM.,fr
68,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 5.,fr
69,citizen_sub_8a17,LETTER,"La longueur des parcours et l’économie Donc pour les autobus : Donc le gain de temps pour les autobus est de 6’ à 5’ 30 ‘’ soit ½ minute Soit une économie de ½’ x $2Million / 3’ = 333 332 $/an pour les 2 098 bus et 250 j/an Soit 0,64 cents/jour/passage de bus.",fr
70,citizen_sub_8a17,LETTER,"Et pour les autres véhicules : Ralentissement des véhicules de 2’ 20’’ à 6’ Les véhicules vont donc prendre 3’ 40’’ de plus pour traverser le quartier, soit : Consommation et pollution dues au ralentissement : Nbre d'autos aller Nbre d'autos retour Autos 10 160 10 103 minutes consom/min 3,67 3,67 j/an kg CO2 6 Roland Hakim 0,02 0,02 250 2,4 Consom, l 745,07 ltr/j 740,89 ltr/j 1 485,95 ltr/j 371 488,33 ltr/an 891,57 TCO2/anLes demi-vérités de la SHM 2010 Par ailleurs et selon les cotes de consommation de carburant des nouveaux véhicules, la conduite discontinue en ville nécessite environ de 20 à 65 % de carburant de plus que la conduite fluide sur route (Réf. : Guide de consommation de carburant 2008, Office de l’efficacité énergétique, Ressources naturelles Canada, 2007).",fr
71,citizen_sub_8a17,LETTER,"Le tableau 7.1 indique une diminution de trafic de 15% Et le tableau 7.2 indique une diminution conséquente des polluants allant jusqu'à 8%, or lorsque l’on prend en compte le ralentissement due à la congestion tant espérée dans ce quartier, il faut considérer une augmentation de la consommation de carburant de l’ordre de 20 à 65%, et cette congestion de 3’40’’ dans un tronçon à peine supérieur à un km, justifie l’utilisation de 55%.",fr
72,citizen_sub_8a17,LETTER,"Donc, Si nous considérons une augmentation de la consommation de carburant de 55%, Les 85% de véhicules restants consommeront 85% x 55% = 132% Soit 32% de plus de carburant.",fr
73,citizen_sub_8a17,LETTER,L’étude de la qualité de l’air ne tiens pas compte de la pollution due au ralentissement du trafic sur le boulevard.,fr
74,citizen_sub_8a17,LETTER,", négligence? volontaire ou involontaire?",fr
75,citizen_sub_8a17,LETTER,"qui est directeur du projet Bonaventure, en voulant probablement doré la pilule nous déclare : . .",fr
76,citizen_sub_8a17,LETTER,"il y a des nouveaux carburants qui sont utilisés dans les autobus et si on regarde avec la RTL ou quoi que ce soit, ils utilisent ces carburants.",fr
77,citizen_sub_8a17,LETTER,"Et, de plus en plus, ils deviennent abordables et ils pourraient être utilisés.",fr
78,citizen_sub_8a17,LETTER,"Donc, effectivement, on va en tenir compte.",fr
79,citizen_sub_8a17,LETTER,quand même où on veut le développement durable.,fr
80,citizen_sub_8a17,LETTER,"Donc, à cet égard-là, on va en tenir compte.",fr
81,citizen_sub_8a17,LETTER,Or les nouveaux carburants sont les biodiesel au Québec,fr
82,citizen_sub_8a17,LETTER,"ils contiennent un maximum de 15% de Bio et 85% est du Diesel fossile, à ce stade ils émettent 6% de moins de pollution que le Diesel ordinaire.",fr
83,citizen_sub_8a17,LETTER,"N’entrons pas dans la polémique de l’épuisement de la terre et de ses ressources pour fabriquer ces nouveaux carburants ni de leurs effets sur le prix mondial des céréales, alors que sur cette terre un homme sur deux ne mange par à sa faim.",fr
84,citizen_sub_8a17,LETTER,5.3 Consultation avec les autorités de la santé publique : M. Gaëtan Rainville a déclaré: « .,fr
85,citizen_sub_8a17,LETTER,".on a présenté notre projet aux gens de santé – comment ça s’appelle – Conseil régional de la santé publique et qui sont, eux, très favorables parce que même s’il y a un grand nombre d’autobus, il y a un effet de diminution par une diminution du nombre d’automobiles.",fr
86,citizen_sub_8a17,LETTER,"Or il n’y a rien au Québec qui porte le nom Conseil régional de la santé publique, et par ailleurs nous avons communiqué avec la DSP et pour vérifier ces dires, mais nous allons laisser la DSP vous informer directement, et ce n’est pas drôle.",fr
87,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 5.4,fr
88,citizen_sub_8a17,LETTER,Le nombre de passage d’autobus,fr
89,citizen_sub_8a17,LETTER,Rainville s’offusquait du nombre d’autobus que certains avançaient et questionnaient 389 391 780 9 Roland Hakim 2 2 778 782 1560Les demi-vérités de la SHM 2010,fr
90,citizen_sub_8a17,LETTER,Tableau annexé aux études sur la qualité de l’air et celle du bruit.,fr
91,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 Sommes-nous devant des communicateurs qui ne veulent pas tout communiquer ou qui ne sont pas au courant de leur unique dossier?,fr
92,citizen_sub_8a17,LETTER,5.5 Les autobus polluent moins;,fr
93,citizen_sub_8a17,LETTER,Il est scientifiquement démontré que la combustion d'un moteur diesel à des conséquences beaucoup plus importantes sur la santé qu'un moteur à essence.,fr
94,citizen_sub_8a17,LETTER,"Si vous ne connaissez pas bien les produits de combustions du diesel ainsi que leurs conséquences réelles sur la santé humaine, je vous 'invite à faire des recherches sur le sujet.",fr
95,citizen_sub_8a17,LETTER,"Je vous montre cependant un document à ce sujet que j'ai trouvé sur Internet, mais il en existe des centaines d’autres d'autres.",fr
96,citizen_sub_8a17,LETTER,Ici un autre document présenté par la SHM 12 Roland HakimLes,fr
97,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 Quand on a un Metro qui dessert déjà la rive sud . . .,fr
98,citizen_sub_8a17,LETTER,Exploitons-le d’avantage.,fr
99,citizen_sub_8a17,LETTER,Sinon pensons au Tramway ou au SLR.,fr
100,citizen_sub_8a17,LETTER,"nous vous présentons un immense projet, un projet pour lequel nous sommes très fiers,.. » nous dit-on, On ne l’aurait pas fait différemment au tiers-monde.",fr
101,citizen_sub_8a17,LETTER,", alors pensez-y à la fin du projet?!",fr
102,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 6.,fr
103,citizen_sub_8a17,LETTER,Tourner à gauche sur Brennan et tout de suite après sur Dalhousie alors que les trams sont prévues sur Brennan.,fr
104,citizen_sub_8a17,LETTER,C’est d’une part une manouvre dangereuse et encore pire quand le tramway passera sur Brennan.,fr
105,citizen_sub_8a17,LETTER,Notons ici que le tracé Peel a été illimité d’emblais car le tramway y passera un jour.,fr
106,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 7.,fr
107,citizen_sub_8a17,LETTER,Le nombre de voies actuel et futur 12 voies réduites à 8+2 pour les bus et +2 pour la station sur Dalhousie.,fr
108,citizen_sub_8a17,LETTER,-la voie de Duke = 11 actuelles et 12 futures?,fr
109,citizen_sub_8a17,LETTER,"Le CN est très ouvert, alors qu’il ne s’est même pas prononcé.",fr
110,citizen_sub_8a17,LETTER,Lors des audiences Rainville à déclaré : « .,fr
111,citizen_sub_8a17,LETTER,"Ils (le CN) ne voient pas d’un mauvais œil du tout, du tout, ce qu’on envisage et puis on a pris grand soin, et même dans notre rapport d’avant-projet détaillé, j’ai insisté, moi, personnellement pour qu’on mette une phrase en disant qu’on n’a pas la prétention de décider pour des propriétaires privés, qu’est-ce qu’ils devraient faire avec leur immeuble.",fr
112,citizen_sub_8a17,LETTER,"Alors, le tout, ça s’applique aussi au Canadien National.",fr
113,citizen_sub_8a17,LETTER,"Alors, on a des échanges fréquents et ils abondent dans notre sens.. .",fr
114,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 Et de plus :,fr
115,citizen_sub_8a17,LETTER,"Une structure magistrale en tunnel de plus de 150m de long, qualifiée d’implication « relativement marginale ».",fr
116,citizen_sub_8a17,LETTER,"La SHM à dérangé monsieur Jean Hallé, directeur immobilier Canadien National, pour lui faire dire que le CN est dans le coup, or M. Hallé avait visible l’air agacé et ce n’est que pas courtoisie qu’il a fait cette déclaration : 16 Roland HakimLes",fr
117,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 « .,fr
118,citizen_sub_8a17,LETTER,Le CN travail quand même avec la SHM » et nous a fait remarquer que ce n’est qu’un avant-projet.,fr
119,citizen_sub_8a17,LETTER,La SHM fait dire au CN ce qu’elle veut bien nous faire entendre – des demi-vérités.,fr
120,citizen_sub_8a17,LETTER,L’objectif d’une entré de ville Prestigieuse Depuis qu’ils ont décidé d’en faire un milieu de vie «,fr
121,citizen_sub_8a17,LETTER,"Percutant » etc.. et Depuis qu’ils ont décidé d’en faire entré de ville Prestigieuse et une sortie magistrale, ça a déclenché le pelletage des autobus de l’autre coté des tracks, dans le corridor Dalhousie, dans l’arrondissement du Sud-Ouest.",fr
122,citizen_sub_8a17,LETTER,"Avec eux s’en va la pollution de l’air et du bruit …à la page 51 du rapport avant-projet détaillé mars 2009, dans la section se référant à la qualité de l’air, la SHM déclare que « la structure des voies ferrées du CN ainsi que les futurs bâtiments prévus dans l’îlot central….",fr
123,citizen_sub_8a17,LETTER,serviraient d’écrans partiels à la diffusion latérale des polluants émis par la voie réservée aux autobus.,fr
124,citizen_sub_8a17,LETTER,"Autrement dit, la SHM souhaite freiner la diffusion latérale des polluants en la conservant et en la concentrant au Sud-ouest, et au Griffintown en particulier, grâce à l’effet d’écran partiel qu’offrent les rails élevés et les îlots bâtis.",fr
125,citizen_sub_8a17,LETTER,"Mais plus important encore le transfère des couts exorbitants des expropriations, du percement du chas de la Dalhousie sous les rails du CN, au bas mot ¼ de milliard 10.",fr
126,citizen_sub_8a17,LETTER,Les espaces récupérés pour la construction.,fr
127,citizen_sub_8a17,LETTER,Le retour sur l’investissement dépend de la vente des ilots centraux.,fr
128,citizen_sub_8a17,LETTER,Une mauvaise représentation exagérée et trompeuse.,fr
129,citizen_sub_8a17,LETTER,La page suivante est extraite de l’audit de sécurité (doc 3 e3) 17 Roland,fr
130,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 Aux audiences le 2 Décembre j’ai mentionné ces expropriations et me suis fait contredire voici l’extrait : 18 Roland,fr
131,citizen_sub_8a17,LETTER,En définitive voici le compte des terrains dégagés par l’autoroute et que SHM veut vendre par rapport à ceux qu’il faudra exproprier ou acquérir pour le corridor Dalhousie.,fr
132,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 À exproprier À vendre,fr
133,citizen_sub_8a17,LETTER,792 Ilots Will/St-Maur 68 426 3C-16 60 278 Autres 5 000 3C-18 46 823 différence,fr
134,citizen_sub_8a17,LETTER,Ce n’est clairement pas avec ça que la SHM pourra financer le projet.,fr
135,citizen_sub_8a17,LETTER,Ou est-ce le fait que le contribuable paierait cette facture par l’entremise du Provincial que du municipal que cela ne compte plus?,fr
136,citizen_sub_8a17,LETTER,Monsieur Rainville a indiqué que le poste de police et son stationnement appartiennent déjà à la ville et en tous cas il devait déménager.,fr
137,citizen_sub_8a17,LETTER,Devons nous conclure que cette relocalisation est gratuite?,fr
138,citizen_sub_8a17,LETTER,", que ce terrain n’a aucune valeur marchande?",fr
139,citizen_sub_8a17,LETTER,Sinon comment ce fait-il quelle ne figure pas dans la comptabilité du projet?,fr
140,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 12.,fr
141,citizen_sub_8a17,LETTER,L’étude sur le patrimoine :,fr
142,citizen_sub_8a17,LETTER,Une petite étude avec un mandat limité,fr
143,citizen_sub_8a17,LETTER,"Les édifices suivants ne sont même pas mentionnés : New City Gaz, l’édifice Rodier (Baron sport) et le presbytère.",fr
144,citizen_sub_8a17,LETTER,L’extrait du mandat indique le territoire d’intérêt comme étant « .,fr
145,citizen_sub_8a17,LETTER,des terrains riverains au projet Bonaventure. .,fr
146,citizen_sub_8a17,LETTER,Devons nous conclure que personne ne lui à dit que le corridor Dalhousie fait parti du projet?,fr
147,citizen_sub_8a17,LETTER,Ou est ce encore une tentative de plus pour ne montrer que le coté de la médaille qui convient à la SHM?,fr
148,citizen_sub_8a17,LETTER,Ou est-ce encore une demi-étude comme une demi-vérité?,fr
149,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 13.,fr
150,citizen_sub_8a17,LETTER,"Consultations publiques volontaires à ce stade-ci et sans-obligations Allocution du 24 Novembre 2009, Donc ces consultations n’obligent en rien la SHM.",fr
151,citizen_sub_8a17,LETTER,"Tous les avis qui ont été exprimés sont contre le projet sous sa forme actuelle, particulièrement en ce qui concerne le corridor d’autobus.",fr
152,citizen_sub_8a17,LETTER,Nous avons entendu les Griffinois et vous les entendrez encore se plaindre du peu de considération et du mépris de la SHM à leur égard.,fr
153,citizen_sub_8a17,LETTER,Allons-nous avoir des vraies consultations?,fr
154,citizen_sub_8a17,LETTER,Avec un projet de règlement?,fr
155,citizen_sub_8a17,LETTER,"Et la réponse c’est NON, probablement pas!",fr
156,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 14.,fr
157,citizen_sub_8a17,LETTER,en tant que communicateurs de dire la vérité,fr
158,citizen_sub_8a17,LETTER,"À la Journée des communications gouvernementales Décembre 2009, Au Forum des responsables des communications du gouvernement du Québec Mme Isabelle Hudon a donné une conférence sur L’importance de communiquer, l’obligation de dire la vérité!",fr
159,citizen_sub_8a17,LETTER,"De nos jours, on nous demande constamment de performer.",fr
160,citizen_sub_8a17,LETTER,On nous demande parfois même de surperformer!,fr
161,citizen_sub_8a17,LETTER,"Néanmoins, nous ne devons jamais perdre de vue notre grande obligation en tant que communicateurs : celle de dire la vérité.",fr
162,citizen_sub_8a17,LETTER,Est-ce possible de réussir malgré cela?,fr
163,citizen_sub_8a17,LETTER,"En relations publiques, en publicité, en relations médias et à chaque occasion que nous avons de communiquer, la sincérité de nos propos n'a pas de prix.",fr
164,citizen_sub_8a17,LETTER,"Un leadership fort trouve écho dans l'opinion publique, mais c'est la franchise de ce leadership qui gagne la confiance des gens.",fr
165,citizen_sub_8a17,LETTER,Nous comprenons que les demi-vérités ne suffiront pas.,fr
166,citizen_sub_8a17,LETTER,"Et bien Madame Hudon, nous sommes heureux de voir qu’en ce qui a trait à la vérité, vous avez les mêmes objectifs que nous, mais nous avons démontré ici et ailleurs, que vos communicateurs à la SHM ne disent que des demis-vérités et ceci ne vous suffit pas, ne suffit plus au maire et n’est certainement pas acceptable pour les Griffinois.",fr
167,citizen_sub_8a17,LETTER,demi-vérités de la SHM 2010 15.,fr
168,citizen_sub_8a17,LETTER,"En conclusion Nous avons démontré que ce projet de la manière dont il est présenté aujourd’hui ne tient pas la route, et qu’il faut le retourner sur les tables à dessins.",fr
169,citizen_sub_8a17,LETTER,"Nous avons aussi démontré que le discours de la SHL est criblé de trous et de demivérités, même avec de ci jolies photos, rien ne va.",fr
170,citizen_sub_8a17,LETTER,"Continuer cet exercice de la pseudo-démocratie et gaspiller temps et énergie pour plus de rencontres et des mémoires pour aboutir à un rapport de l’OCPM qui dira immanquablement que tous les avis sont contre le passage des bus sur la Dalhousie, ou se rendre à l’évidence et l’admettre en trouvant une façon de sauver la face.",fr
171,citizen_sub_8a17,LETTER,Nous nous adressons ici à Mme Hudon qui a dit.,fr
172,citizen_sub_8a17,LETTER,"qu’il y a une chose dont elle est convaincue, c'est que notre contribution, notre opinion comptera pour faire de ce projet un bien meilleur projet encore.",fr
173,citizen_sub_8a17,LETTER,"Nous tenons à remercier Madame Hudon pour son courage intellectuel, d’avoir admis d’emblais que quoi qu’il arrive notre opinion comptera.",fr
174,citizen_sub_8a17,LETTER,"Autrement dit, si ce projet comportait des lacunes, elle allait les corrigées, et nous lui offrons toutes notre coopération pour atteindre ce même but.",fr
175,citizen_sub_8a17,LETTER,"Nous nous adressons aussi au Maire de Montréal qui dit vouloir gouverner autrement, qu’Il faut que tous les élus sentent qu'ils contribuent à l'essor de la ville de Montréal nous demandons donc au maire, d’écouter les citoyens, d’écouter les élus qui vont s’exprimer dans ces audiences et de répondre aux attentes de la majorité et à leurs aspirations.",fr
